Age,Gender,1. Which SHS strand did you take?,Mathematics,Science,English,Filipino,Social Studies,Business,Computer,Arts & Design,Communication & Public Speaking,Energy,Processing,Decision,Lifestyle,Self-Confidence & Stress Management,Fulfillment,Chore/Hobby,Opportunity Satisfaction,Strand Match  ,Choose Again,MBTI TYPE,MBTI GROUP,
18,Female,STEM,4,3,5,3,4,3,2,2,4,2,1,1,2,3,5,4,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",ENTJ,Analyst,
20,Female,STEM,4,4,4,4,3,3,5,3,2,5,2,1,4,4,3,2,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",INTP,Analyst,
19,Female,STEM,3,4,4,3,3,2,3,2,2,3,3,2,4,3,4,3,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",ENTP,Analyst,
21,Male,STEM,5,2,3,3,2,5,3,3,3,5,2,1,2,2,3,2,3,"No, it did not match my personality and strengths.","No, I would choose a different strand.",INTJ,Analyst,
18,Female,STEM,3,4,3,3,4,4,3,3,4,5,3,3,2,4,3,4,3,"Yes, it aligned well with my personality and strengths.","No, I would choose a different strand.",INTJ,Analyst,
18,Female,STEM,2,3,2,3,4,2,3,5,4,3,4,5,4,3,3,4,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",ESFP,Explorer,
19,Female,STEM,4,4,3,3,3,2,4,2,2,3,3,2,4,4,4,3,2,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",ENTP,Analyst,
21,Male,STEM,4,3,3,3,2,3,4,2,1,2,3,1,4,4,4,4,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",ENTP,Analyst,
21,Male,STEM,4,3,4,5,3,3,2,2,3,5,2,3,2,6,3,4,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",INTJ,Analyst,
20,Female,STEM,2,3,4,2,3,4,3,2,5,1,6,3,2,3,4,3,4,"No, it did not match my personality and strengths.","No, I would choose a different strand.",ESTJ,Sentinel,
21,Male,STEM,4,2,4,3,3,4,3,2,4,4,5,3,3,4,3,3,4,"No, it did not match my personality and strengths.","No, I would choose a different strand.",ISTJ,Sentinel,
22,Female,STEM,3,3,4,5,4,4,4,3,5,4,5,6,1,5,3,2,4,"No, it did not match my personality and strengths.","No, I would choose a different strand.",ISFJ,Sentinel,
20,Female,STEM,2,2,4,3,4,3,2,4,5,4,2,6,6,3,2,1,2,"No, it did not match my personality and strengths.","No, I would choose a different strand.",INFP,Diplomat,
19,Female,STEM,3,3,4,3,4,2,4,3,5,2,3,4,2,5,1,2,3,"No, it did not match my personality and strengths.","Yes, I would choose the same strand.",ENFJ,Diplomat,
19,Male,STEM,3,3,4,4,5,2,5,3,4,4,2,5,2,3,3,3,2,"No, it did not match my personality and strengths.","No, I would choose a different strand.",INFJ,Diplomat,
18,Male,STEM,3,2,4,3,3,4,3,3,4,2,4,4,2,2,4,2,2,"No, it did not match my personality and strengths.","No, I would choose a different strand.",ESFJ,Sentinel,
20,Female,STEM,3,1,3,3,4,4,3,3,4,5,4,2,3,4,3,2,4,"No, it did not match my personality and strengths.","No, I would choose a different strand.",ISTJ,Sentinel,
18,Female,STEM,4,3,3,3,4,4,3,3,5,2,4,4,2,2,3,2,2,"No, it did not match my personality and strengths.","No, I would choose a different strand.",ESFJ,Sentinel,
17,Female,STEM,4,2,3,4,3,4,4,3,5,4,3,3,2,2,3,2,1,"No, it did not match my personality and strengths.","No, I would choose a different strand.",INTJ,Analyst,
20,Female,STEM,3,3,4,4,4,4,1,3,5,6,4,5,1,1,4,1,4,"No, it did not match my personality and strengths.","No, I would choose a different strand.",ISFJ,Sentinel,
18,Male,STEM,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,"No, it did not match my personality and strengths.","No, I would choose a different strand.",ESFP,Explorer,
17,Male,STEM,3,4,3,3,3,4,4,5,3,4,4,3,4,4,4,3,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",ISTP,Explorer,
18,Male,STEM,3,4,3,3,4,1,2,3,4,3,2,5,4,4,4,3,2,"No, it did not match my personality and strengths.","No, I would choose a different strand.",ENFP,Diplomat,
18,Male,STEM,4,4,4,3,3,3,5,2,3,4,2,2,3,2,4,5,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",INTJ,Analyst,
18,Female,HUMSS,3,3,4,3,2,2,3,3,3,4,2,5,3,3,4,5,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,INFJ,Diplomat
18,Female,HUMSS,2,4,5,4,5,2,3,3,3,2,2,6,4,2,3,4,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ENFP,Diplomat
19,Male,HUMSS,3,3,4,3,5,2,3,4,3,5,1,4,2,4,5,5,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,INFJ,Diplomat
18,Male,HUMSS,3,4,3,4,5,3,2,3,4,2,3,5,4,3,3,4,5,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ENFP,Diplomat
19,Male,HUMSS,3,3,3,3,3,3,3,2,4,1,3,4,5,5,2,3,3,"No, it did not match my personality and strengths.","No, I would choose a different strand.",,ENFP,Diplomat
18,Male,HUMSS,1,3,5,2,5,1,3,4,3,1,3,6,5,4,4,4,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ENFP,Diplomat
18,Female,HUMSS,1,2,3,5,5,2,2,5,5,1,1,6,5,1,5,5,5,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ENFP,Diplomat
18,Male,HUMSS,2,2,3,4,5,3,4,3,3,2,2,4,3,3,3,3,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ENFJ,Diplomat
18,Female,HUMSS,2,2,4,4,4,2,4,4,4,4,3,4,2,6,3,3,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,INFJ,Diplomat
17,Female,HUMSS,3,4,4,2,4,2,3,3,4,5,3,4,6,4,4,3,2,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,INFP,Diplomat
17,Female,HUMSS,3,3,5,4,3,2,2,3,5,2,3,5,4,2,4,5,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ENFP,Diplomat
18,Male,HUMSS,4,3,4,3,5,4,3,5,5,6,2,6,2,4,5,4,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,INFJ,Diplomat
19,Female,HUMSS,3,4,4,3,4,3,2,3,4,4,3,6,5,5,4,5,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,INFP,Diplomat
20,Male,HUMSS,3,4,3,5,5,2,3,4,5,1,3,4,2,1,5,3,3,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,ENFJ,Diplomat
19,Female,HUMSS,4,4,4,4,4,3,4,4,5,3,1,5,4,3,3,3,3,"No, it did not match my personality and strengths.","No, I would choose a different strand.",,ENFP,Diplomat
18,Female,HUMSS,4,2,4,3,4,4,3,4,4,1,4,4,2,3,4,2,3,"No, it did not match my personality and strengths.","No, I would choose a different strand.",,ESFJ,Sentinel
17,Female,HUMSS,3,3,4,5,5,2,3,4,3,3,2,3,3,2,3,2,3,"No, it did not match my personality and strengths.","No, I would choose a different strand.",,ENTJ,Analyst
19,Male,HUMSS,4,3,4,4,3,3,4,3,4,5,2,2,2,5,3,4,4,"Yes, it aligned well with my personality and strengths.","Yes, I would choose the same strand.",,INTJ,Analyst
20,Female,HUMSS,4,3,3,4,3,2,3,3,4,2,2,3,4,2,4,3,4,"No, it did not match my personality and strengths.","No, I would choose a different strand.",,ENTP,Analyst
19,Female,HUMSS,3,4,3,3,2,3,4,3,3,5,3,3,5,5,4,1,3,"No, it did not match my personality and strengths.","No, I would choose a different strand.",,INTP,Analyst
18,Female,HUMSS,4,3,4,3,4,4,3,4,5,1,4,2,5,4,2,3,3,"No, it did not match my personality and strengths.","No, I would choose a different strand.",,ESTP,Explorer
18,Female,HUMSS,2,1,3,4,3,2,4,4,4,4,5,3,6,2,4,3,3,"No, it did not match my personality and strengths.","No, I would choose a different strand.",,ISTP,Explorer
18,Male,HUMSS,3,3,2,3,2,1,3,4,3,5,4,4,4,6,4,4,4,"No, it did not match my personality and strengths.","No, I would choose a different strand.",,ISFP,Explorer
